title,release_date,budget,revenue,vote_count,vote_average,runtime,id,genre_Action,genre_Adventure,genre_Animation,genre_Comedy,genre_Crime,genre_Documentary,genre_Drama,genre_Family,genre_Fantasy,genre_History,genre_Horror,genre_Music,genre_Mystery,genre_Romance,genre_Science Fiction,genre_TV Movie,genre_Thriller,genre_War,genre_Western
Man of Steel,2013-06-12,225000000,754045518,13733,6.599,143,49521,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Her,2013-12-18,23000000,47351251,12788,7.863,126,152601,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0
The Hobbit: The Desolation of Smaug,2013-12-11,250000000,958400000,11690,7.571,161,57158,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Pacific Rim,2013-07-11,180000000,407602906,11094,6.861,131,68726,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
The Great Gatsby,2013-05-10,105000000,351040419,11051,7.381,143,64682,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
12 Years a Slave,2013-10-18,20000000,187000000,10161,7.951,134,76203,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
Despicable Me 2,2013-06-26,76000000,970761885,10152,6.914,98,93456,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
The Conjuring,2013-07-18,13000000,319494638,10102,7.536,112,138843,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
Prisoners,2013-09-18,46000000,122126687,9990,8.074,153,146233,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
Oblivion,2013-04-10,120000000,286168572,9663,6.608,124,75612,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
Fast & Furious 6,2013-05-21,160000000,788680968,9626,6.81,131,82992,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Monsters University,2013-06-19,200000000,743559607,9514,7.027,104,62211,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
The Wolverine,2013-07-23,120000000,415440673,8602,6.389,126,76170,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
Star Trek Into Darkness,2013-05-05,190000000,467365246,8300,7.332,132,54138,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
